nom_amenageur,siren_amenageur,contact_amenageur,nom_operateur,contact_operateur,telephone_operateur,nom_enseigne,id_station_itinerance,id_station_local,nom_station,implantation_station,adresse_station,code_insee_commune,coordonneesXY,nbre_pdc,id_pdc_itinerance,id_pdc_local,puissance_nominale,prise_type_ef,prise_type_2,prise_type_combo_ccs,prise_type_chademo,prise_type_autre,gratuit,paiement_acte,paiement_cb,paiement_autre,tarification,condition_acces,reservation,horaires,accessibilite_pmr,restriction_gabarit,station_deux_roues,raccordement,num_pdl,date_mise_en_service,observations,date_maj,last_modified,resource_id
Aquit emballage,814921458,aquitemballage@gmail.com,Aquit emballage,aquitemballage@gmail.com,0556878280,PDC Aquit emballage,Non concerné,01F75VV6SXY96S6YJS8K303MGR,Latresne,Parking privé réservé à la clientèle,Parc d'Activité Tanesse 33360 Latresne,33234,"[44.79948425,-0.51073658]",1,Non concerné,01F75VV6SXY96S6YJS8K303MGR,22,false,true,false,false,false,true,false,false,false,null,Accès réservé,false,24/7,Accessible mais non réservé PMR,Aucune restriction,false,Indirect,16137771134797,2021-04-21,null,2021-06-02,2021-06-02T10:46:03.623000,b3e3b0c7-6422-4ab6-acf8-d496b1577ed5
Packel emballages,799205547,olivia.packel@gmail.com,Packel emballages,olivia.packel@gmail.com,0561850423,PDC Packel Emballages,Non concerné,01F75VV6SX9DK9V7G3A41FV7AW,Merville,Parking privé réservé à la clientèle,4 rue de Gascogne 31330 Merville,31341,"[43.72010040,1.32690799]",1,Non concerné,01F75VV6SX9DK9V7G3A41FV7AW,22,false,true,false,false,false,true,false,false,false,null,Accès réservé,false,24/7,Accessible mais non réservé PMR,Aucune restriction,false,Indirect,23219536778154,2021-04-06,null,2021-06-02,2021-06-02T10:46:03.623000,b3e3b0c7-6422-4ab6-acf8-d496b1577ed5
SDESM,200041309,marc.boitel@sdesm.fr,IZIVIA,sav@izivia.com,0972668001,Ecocharge77,FRS77P77317A,01F5ZAKH61ZAYE68C06G8Q9BMV,Mormant,Voirie,place de la mairie,77317,"[48.606499999999997,2.890500000000000]",2,FRS77EEC7710711,01F5ZB3EZM2JFA95MX9G7CDMN7,18,true,true,false,false,false,false,true,false,false,"2€ pour 3h de session de charge pour les abonnés, puis 2,5cts d'€ par minute complémentaire",Accès libre,false,24/7,Accessibilité inconnue,aucune restriction,false,Direct,22173950638547,2016-11-15,aucune,2021-05-18,2021-05-28T16:57:48.432000,6d189577-af67-4d72-ba60-73fa62fd35fc
SDESM,200041309,marc.boitel@sdesm.fr,IZIVIA,sav@izivia.com,0972668001,Ecocharge77,FRS77P77475A,01F5ZAKH61J186694WWK9SKV1B,Trilport,Voirie,rue du Général de Gaulle,77475,"[48.958482,2.947197]",2,FRS77EEC7717211,01F5ZB3EZNS8D52J0YJ0ME17VD,18,true,true,false,false,false,false,true,false,false,"2€ pour 3h de session de charge pour les abonnés, puis 2,5cts d'€ par minute complémentaire",Accès libre,false,24/7,Accessibilité inconnue,aucune restriction,false,Direct,inconnu,2016-08-10,aucune,2021-05-18,2021-05-28T16:57:48.432000,6d189577-af67-4d72-ba60-73fa62fd35fc
SDESM,200041309,marc.boitel@sdesm.fr,IZIVIA,sav@izivia.com,0972668001,Ecocharge77,FRS77P77508A,01F5ZAKH61ED7429VDSMRNSYCR,Villeneuve-le-Comte,Voirie,place de la fontaine,77508,"[48.813721000000001,2.830367600000000]",2,FRS77EEC7715711,01F5ZB3EZPMYX229ZWPAKVGP67,18,true,true,false,false,false,false,true,false,false,"2€ pour 3h de session de charge pour les abonnés, puis 2,5cts d'€ par minute complémentaire",Accès libre,false,24/7,Accessibilité inconnue,aucune restriction,false,Direct,22168451357191,2016-08-11,aucune,2021-05-18,2021-05-28T16:57:48.432000,6d189577-af67-4d72-ba60-73fa62fd35fc
SDESM,200041309,marc.boitel@sdesm.fr,IZIVIA,sav@izivia.com,0972668001,Ecocharge77,FRS77P77486A,01F5ZAKH61BST212NKJMVXM29X,Vaudoy-en-Brie,Voirie,place de l'église,77486,"[48.688384399999997,3.080205300000000]",2,FRS77EEC7715311,01F5ZB3EZNQAA5MZ46KJQA8DB0,18,true,true,false,false,false,false,true,false,false,"2€ pour 3h de session de charge pour les abonnés, puis 2,5cts d'€ par minute complémentaire",Accès libre,false,24/7,Accessibilité inconnue,aucune restriction,false,Direct,22156439780005,2016-08-31,aucune,2021-05-18,2021-05-28T16:57:48.432000,6d189577-af67-4d72-ba60-73fa62fd35fc
SDESM,200041309,marc.boitel@sdesm.fr,IZIVIA,sav@izivia.com,0972668001,Ecocharge77,FRS77P77482A,01F5ZAKH61AN7SE9N3CG32EQS1,Varennes-sur-Seine,Voirie,Rue de la mairie,77482,"[48.375947900000000,2.929050000000000]",2,FRS77EEC7715211,01F5ZB3EZNDXZ0F6GD4SHTF19Y,18,true,true,false,false,false,false,true,false,false,"2€ pour 3h de session de charge pour les abonnés, puis 2,5cts d'€ par minute complémentaire",Accès libre,false,24/7,Accessibilité inconnue,aucune restriction,false,Direct,22186541086516,2016-08-11,aucune,2021-05-18,2021-05-28T16:57:48.432000,6d189577-af67-4d72-ba60-73fa62fd35fc
SDESM,200041309,marc.boitel@sdesm.fr,IZIVIA,sav@izivia.com,0972668001,Ecocharge77,FRS77P77480A,01F5ZAKH61SRQ9A5PY53130HYM,Valence-en-Brie,Voirie,place de l'église,77480,"[48.444339499999998,2.891338600000000]",2,FRS77EEC7715112,01F5ZB3EZNA4CH2DDQHX878GC2,18,true,true,false,false,false,false,true,false,false,"2€ pour 3h de session de charge pour les abonnés, puis 2,5cts d'€ par minute complémentaire",Accès libre,false,24/7,Accessibilité inconnue,aucune restriction,false,Direct,22155860908872,2015-07-01,aucune,2021-05-18,2021-05-28T16:57:48.432000,6d189577-af67-4d72-ba60-73fa62fd35fc
SDESM,200041309,marc.boitel@sdesm.fr,IZIVIA,sav@izivia.com,0972668001,Ecocharge77,FRS77P77480A,01F5ZAKH61SRQ9A5PY53130HYM,Valence-en-Brie,Voirie,place de l'église,77480,"[48.444339499999998,2.891338600000000]",2,FRS77EEC7715111,01F5ZB3EZN6PC6J5XKG5JSD6C0,18,true,true,false,false,false,false,true,false,false,"2€ pour 3h de session de charge pour les abonnés, puis 2,5cts d'€ par minute complémentaire",Accès libre,false,24/7,Accessibilité inconnue,aucune restriction,false,Direct,22155860908872,2016-09-07,aucune,2021-05-18,2021-05-28T16:57:48.432000,6d189577-af67-4d72-ba60-73fa62fd35fc
SDESM,200041309,marc.boitel@sdesm.fr,IZIVIA,sav@izivia.com,0972668001,Ecocharge77,FRS77P77477A,01F5ZAKH61JC7J36YVW9KYEWZS,Ury,Voirie,rue Bessonville,77477,"[48.342206699999998,2.602099000000000]",2,FRS77EEC7715012,01F5ZB3EZN7YGT6FWXZD7KSTAN,18,true,true,false,false,false,false,true,false,false,"2€ pour 3h de session de charge pour les abonnés, puis 2,5cts d'€ par minute complémentaire",Accès libre,false,24/7,Accessibilité inconnue,aucune restriction,false,Direct,22199710402120,2016-12-16,aucune,2021-05-18,2021-05-28T16:57:48.432000,6d189577-af67-4d72-ba60-73fa62fd35fc
SDESM,200041309,marc.boitel@sdesm.fr,IZIVIA,sav@izivia.com,0972668001,Ecocharge77,FRS77P77477A,01F5ZAKH61JC7J36YVW9KYEWZS,Ury,Voirie,rue Bessonville,77477,"[48.342206699999998,2.602099000000000]",2,FRS77EEC7715011,01F5ZB3EZNA9Q2J8PDDMGQTAQQ,18,true,true,false,false,false,false,true,false,false,"2€ pour 3h de session de charge pour les abonnés, puis 2,5cts d'€ par minute complémentaire",Accès libre,false,24/7,Accessibilité inconnue,aucune restriction,false,Direct,22199710402120,2016-11-15,aucune,2021-05-18,2021-05-28T16:57:48.432000,6d189577-af67-4d72-ba60-73fa62fd35fc
SDESM,200041309,marc.boitel@sdesm.fr,IZIVIA,sav@izivia.com,0972668001,Ecocharge77,FRS77P77475A,01F5ZAKH61J186694WWK9SKV1B,Trilport,Voirie,rue du Général de Gaulle,77475,"[48.958482,2.947197]",2,FRS77EEC7717212,01F5ZB3EZN4CD21VCBFBH9CNGW,18,true,true,false,false,false,false,true,false,false,"2€ pour 3h de session de charge pour les abonnés, puis 2,5cts d'€ par minute complémentaire",Accès libre,false,24/7,Accessibilité inconnue,aucune restriction,false,Direct,inconnu,2016-02-23,aucune,2021-05-18,2021-05-28T16:57:48.432000,6d189577-af67-4d72-ba60-73fa62fd35fc
SDESM,200041309,marc.boitel@sdesm.fr,IZIVIA,sav@izivia.com,0972668001,Ecocharge77,FRS77P77482A,01F5ZAKH61AN7SE9N3CG32EQS1,Varennes-sur-Seine,Voirie,Rue de la mairie,77482,"[48.375947900000000,2.929050000000000]",2,FRS77EEC7715212,01F5ZB3EZNSQXPZ3M7P02SG11P,18,true,true,false,false,false,false,true,false,false,"2€ pour 3h de session de charge pour les abonnés, puis 2,5cts d'€ par minute complémentaire",Accès libre,false,24/7,Accessibilité inconnue,aucune restriction,false,Direct,22186541086516,2016-08-12,aucune,2021-05-18,2021-05-28T16:57:48.432000,6d189577-af67-4d72-ba60-73fa62fd35fc
SDESM,200041309,marc.boitel@sdesm.fr,IZIVIA,sav@izivia.com,0972668001,Ecocharge77,FRS77P77311A,01F5ZAKH617FRP6TWWNWE4P3A6,Montigny-Lencoup,Voirie,rue Montmart,77311,"[48.452547000000003,3.060808000000000]",2,FRS77EEC7710612,01F5ZB3EZM3NDTCY2VFJR0GD63,18,true,true,false,false,false,false,true,false,false,"2€ pour 3h de session de charge pour les abonnés, puis 2,5cts d'€ par minute complémentaire",Accès libre,false,24/7,Accessibilité inconnue,aucune restriction,false,Direct,22177423863201,2016-01-19,aucune,2021-05-18,2021-05-28T16:57:48.432000,6d189577-af67-4d72-ba60-73fa62fd35fc
SDESM,200041309,marc.boitel@sdesm.fr,IZIVIA,sav@izivia.com,0972668001,Ecocharge77,FRS77P77508A,01F5ZAKH61ED7429VDSMRNSYCR,Villeneuve-le-Comte,Voirie,place de la fontaine,77508,"[48.813721000000001,2.830367600000000]",2,FRS77EEC7715712,01F5ZB3EZPMRN381QZRM128YQR,18,true,true,false,false,false,false,true,false,false,"2€ pour 3h de session de charge pour les abonnés, puis 2,5cts d'€ par minute complémentaire",Accès libre,false,24/7,Accessibilité inconnue,aucune restriction,false,Direct,22168451357191,2016-02-23,aucune,2021-05-18,2021-05-28T16:57:48.432000,6d189577-af67-4d72-ba60-73fa62fd35fc
SDESM,200041309,marc.boitel@sdesm.fr,IZIVIA,sav@izivia.com,0972668001,Ecocharge77,FRS77P77512A,01F5ZAKH61FTXDZBQKSYMRJR4Q,Villeneuve-sur-Bellot,Voirie,rue du Pont,77512,"[48.861052999999998,3.343021100000000]",2,FRS77EEC7715811,01F5ZB3EZP8RCMERZVGXCDCE8K,18,true,true,false,false,false,false,true,false,false,"2€ pour 3h de session de charge pour les abonnés, puis 2,5cts d'€ par minute complémentaire",Accès libre,false,24/7,Accessibilité inconnue,aucune restriction,false,Direct,22178436887861,2016-08-11,aucune,2021-05-18,2021-05-28T16:57:48.432000,6d189577-af67-4d72-ba60-73fa62fd35fc
SDESM,200041309,marc.boitel@sdesm.fr,IZIVIA,sav@izivia.com,0972668001,Ecocharge77,FRS77P77512A,01F5ZAKH61FTXDZBQKSYMRJR4Q,Villeneuve-sur-Bellot,Voirie,rue du Pont,77512,"[48.861052999999998,3.343021100000000]",2,FRS77EEC7715812,01F5ZB3EZPMFQB2AY5WQ6VDGY8,18,true,true,false,false,false,false,true,false,false,"2€ pour 3h de session de charge pour les abonnés, puis 2,5cts d'€ par minute complémentaire",Accès libre,false,24/7,Accessibilité inconnue,aucune restriction,false,Direct,22178436887861,2016-08-31,aucune,2021-05-18,2021-05-28T16:57:48.432000,6d189577-af67-4d72-ba60-73fa62fd35fc
SDESM,200041309,marc.boitel@sdesm.fr,IZIVIA,sav@izivia.com,0972668001,Ecocharge77,FRS77P77531A,01F5ZAKH61R37GJPE2BGRQBVFE,Voulx,Voirie,Rue Grande,77531,"[48.282539000000000,2.969121000000000]",2,FRS77EEC7716711,01F5ZB3EZP0TJAPM0CVW9H562N,18,true,true,false,false,false,false,true,false,false,"2€ pour 3h de session de charge pour les abonnés, puis 2,5cts d'€ par minute complémentaire",Accès libre,false,24/7,Accessibilité inconnue,aucune restriction,false,Direct,22177568581056,2015-07-01,aucune,2021-05-18,2021-05-28T16:57:48.432000,6d189577-af67-4d72-ba60-73fa62fd35fc
SDESM,200041309,marc.boitel@sdesm.fr,IZIVIA,sav@izivia.com,0972668001,Ecocharge77,FRS77P77528A,01F5ZAKH61JQAJB8N08A2XPVV4,Voisenon,Voirie,rue des écoles,77528,"[48.571084999999997,2.664648100000000]",2,FRS77EEC7716612,01F5ZB3EZPJTHS12ZJ0JXVFR6A,18,true,true,false,false,false,false,true,false,false,"2€ pour 3h de session de charge pour les abonnés, puis 2,5cts d'€ par minute complémentaire",Accès libre,false,24/7,Accessibilité inconnue,aucune restriction,false,Direct,22197684354590,2016-01-19,aucune,2021-05-18,2021-05-28T16:57:48.432000,6d189577-af67-4d72-ba60-73fa62fd35fc
SDESM,200041309,marc.boitel@sdesm.fr,IZIVIA,sav@izivia.com,0972668001,Ecocharge77,FRS77P77528A,01F5ZAKH61JQAJB8N08A2XPVV4,Voisenon,Voirie,rue des écoles,77528,"[48.571084999999997,2.664648100000000]",2,FRS77EEC7716611,01F5ZB3EZPMJR6SJ5PKND15172,18,true,true,false,false,false,false,true,false,false,"2€ pour 3h de session de charge pour les abonnés, puis 2,5cts d'€ par minute complémentaire",Accès libre,false,24/7,Accessibilité inconnue,aucune restriction,false,Direct,22197684354590,2015-05-28,aucune,2021-05-18,2021-05-28T16:57:48.432000,6d189577-af67-4d72-ba60-73fa62fd35fc
SDESM,200041309,marc.boitel@sdesm.fr,IZIVIA,sav@izivia.com,0972668001,Ecocharge77,FRS77P77527A,01F5ZAKH61JRJ229GGPBXGQRTW,Voinsles,Voirie,rue du onze novembre,77527,"[48.690327000000003,3.003289000000000]",2,FRS77EEC7716512,01F5ZB3EZP6AJTH4C9ZFPAFA43,18,true,true,false,false,false,false,true,false,false,"2€ pour 3h de session de charge pour les abonnés, puis 2,5cts d'€ par minute complémentaire",Accès libre,false,24/7,Accessibilité inconnue,aucune restriction,false,Direct,22178581605646,2015-07-01,aucune,2021-05-18,2021-05-28T16:57:48.432000,6d189577-af67-4d72-ba60-73fa62fd35fc
SDESM,200041309,marc.boitel@sdesm.fr,IZIVIA,sav@izivia.com,0972668001,Ecocharge77,FRS77P77527A,01F5ZAKH61JRJ229GGPBXGQRTW,Voinsles,Voirie,rue du onze novembre,77527,"[48.690327000000003,3.003289000000000]",2,FRS77EEC7716511,01F5ZB3EZPG50ECE8R235EMSET,18,true,true,false,false,false,false,true,false,false,"2€ pour 3h de session de charge pour les abonnés, puis 2,5cts d'€ par minute complémentaire",Accès libre,false,24/7,Accessibilité inconnue,aucune restriction,false,Direct,22178581605646,2017-11-30,aucune,2021-05-18,2021-05-28T16:57:48.432000,6d189577-af67-4d72-ba60-73fa62fd35fc
SDESM,200041309,marc.boitel@sdesm.fr,IZIVIA,sav@izivia.com,0972668001,Ecocharge77,FRS77P77486A,01F5ZAKH61BST212NKJMVXM29X,Vaudoy-en-Brie,Voirie,place de l'église,77486,"[48.688384399999997,3.080205300000000]",2,FRS77EEC7715312,01F5ZB3EZN3PEWWSVASC1F6N1E,18,true,true,false,false,false,false,true,false,false,"2€ pour 3h de session de charge pour les abonnés, puis 2,5cts d'€ par minute complémentaire",Accès libre,false,24/7,Accessibilité inconnue,aucune restriction,false,Direct,22156439780005,2016-08-11,aucune,2021-05-18,2021-05-28T16:57:48.432000,6d189577-af67-4d72-ba60-73fa62fd35fc
SDESM,200041309,marc.boitel@sdesm.fr,IZIVIA,sav@izivia.com,0972668001,Ecocharge77,FRS77P77490A,01F5ZAKH611S01G19MY7TRAAAD,Vendrest,Voirie,rue des écoles,77490,"[49.046368600000001,3.092750500000000]",2,FRS77EEC7715411,01F5ZB3EZN8YRG5ZSK3J1QTXVM,18,true,true,false,false,false,false,true,false,false,"2€ pour 3h de session de charge pour les abonnés, puis 2,5cts d'€ par minute complémentaire",Accès libre,false,24/7,Accessibilité inconnue,aucune restriction,false,Direct,22198263225721,2016-08-31,aucune,2021-05-18,2021-05-28T16:57:48.432000,6d189577-af67-4d72-ba60-73fa62fd35fc
SDESM,200041309,marc.boitel@sdesm.fr,IZIVIA,sav@izivia.com,0972668001,Ecocharge77,FRS77P77524A,01F5ZAKH61QHH4V61S5VESVP7P,Vimpelles,Voirie,grande rue,77524,"[48.439373799999998,3.165309100000000]",2,FRS77EEC7716411,01F5ZB3EZPTAV57K29ZFND4ZH6,18,true,true,false,false,false,false,true,false,false,"2€ pour 3h de session de charge pour les abonnés, puis 2,5cts d'€ par minute complémentaire",Accès libre,false,24/7,Accessibilité inconnue,aucune restriction,false,Direct,22198552661336,2016-09-07,aucune,2021-05-18,2021-05-28T16:57:48.432000,6d189577-af67-4d72-ba60-73fa62fd35fc
SDESM,200041309,marc.boitel@sdesm.fr,IZIVIA,sav@izivia.com,0972668001,Ecocharge77,FRS77P77490A,01F5ZAKH611S01G19MY7TRAAAD,Vendrest,Voirie,rue des écoles,77490,"[49.046368600000001,3.092750500000000]",2,FRS77EEC7715412,01F5ZB3EZNBHZA0YM280N9FE2S,18,true,true,false,false,false,false,true,false,false,"2€ pour 3h de session de charge pour les abonnés, puis 2,5cts d'€ par minute complémentaire",Accès libre,false,24/7,Accessibilité inconnue,aucune restriction,false,Direct,22198263225721,2016-12-16,aucune,2021-05-18,2021-05-28T16:57:48.432000,6d189577-af67-4d72-ba60-73fa62fd35fc
SDESM,200041309,marc.boitel@sdesm.fr,IZIVIA,sav@izivia.com,0972668001,Ecocharge77,FRS77P77311A,01F5ZAKH617FRP6TWWNWE4P3A6,Montigny-Lencoup,Voirie,rue Montmart,77311,"[48.452547000000003,3.060808000000000]",2,FRS77EEC7710611,01F5ZB3EZM5FS7TVAQZFK0VFKK,18,true,true,false,false,false,false,true,false,false,"2€ pour 3h de session de charge pour les abonnés, puis 2,5cts d'€ par minute complémentaire",Accès libre,false,24/7,Accessibilité inconnue,aucune restriction,false,Direct,22177423863201,2016-08-12,aucune,2021-05-18,2021-05-28T16:57:48.432000,6d189577-af67-4d72-ba60-73fa62fd35fc
SDESM,200041309,marc.boitel@sdesm.fr,IZIVIA,sav@izivia.com,0972668001,Ecocharge77,FRS77P77310A,01F5ZAKH61QSEA2TT42JQTH6MC,Montigny-le-Guesdier,Voirie,rue Blanche,77310,"[48.383237500000000,3.253999300000000]",2,FRS77EEC7710512,01F5ZB3EZMKQ38FXTG7ZE2F678,18,true,true,false,false,false,false,true,false,false,"2€ pour 3h de session de charge pour les abonnés, puis 2,5cts d'€ par minute complémentaire",Accès libre,false,24/7,Accessibilité inconnue,aucune restriction,false,Direct,22196092457332,2016-08-12,aucune,2021-05-18,2021-05-28T16:57:48.432000,6d189577-af67-4d72-ba60-73fa62fd35fc
SDESM,200041309,marc.boitel@sdesm.fr,IZIVIA,sav@izivia.com,0972668001,Ecocharge77,FRS77P77310A,01F5ZAKH61QSEA2TT42JQTH6MC,Montigny-le-Guesdier,Voirie,rue Blanche,77310,"[48.383237500000000,3.253999300000000]",2,FRS77EEC7710511,01F5ZB3EZMR2R99H4JHK7MZTE4,18,true,true,false,false,false,false,true,false,false,"2€ pour 3h de session de charge pour les abonnés, puis 2,5cts d'€ par minute complémentaire",Accès libre,false,24/7,Accessibilité inconnue,aucune restriction,false,Direct,22196092457332,2015-05-28,aucune,2021-05-18,2021-05-28T16:57:48.432000,6d189577-af67-4d72-ba60-73fa62fd35fc
SDESM,200041309,marc.boitel@sdesm.fr,IZIVIA,sav@izivia.com,0972668001,Ecocharge77,FRS77P77309A,01F5ZAKH61WGK1CSYFH3ZXEPXT,Monthyon,Voirie,rue de la république,77309,"[49.009220800000001,2.828917700000000]",2,FRS77EEC7710412,01F5ZB3EZMHZJ0QNDQ1SSE3TT6,18,true,true,false,false,false,false,true,false,false,"2€ pour 3h de session de charge pour les abonnés, puis 2,5cts d'€ par minute complémentaire",Accès libre,false,24/7,Accessibilité inconnue,aucune restriction,false,Direct,22152242963898,2016-11-15,aucune,2021-05-18,2021-05-28T16:57:48.432000,6d189577-af67-4d72-ba60-73fa62fd35fc
SDESM,200041309,marc.boitel@sdesm.fr,IZIVIA,sav@izivia.com,0972668001,Ecocharge77,FRS77P77309A,01F5ZAKH61WGK1CSYFH3ZXEPXT,Monthyon,Voirie,rue de la république,77309,"[49.009220800000001,2.828917700000000]",2,FRS77EEC7710411,01F5ZB3EZM5M8C3TTEN3P93RJ7,18,true,true,false,false,false,false,true,false,false,"2€ pour 3h de session de charge pour les abonnés, puis 2,5cts d'€ par minute complémentaire",Accès libre,false,24/7,Accessibilité inconnue,aucune restriction,false,Direct,22152242963898,2016-08-10,aucune,2021-05-18,2021-05-28T16:57:48.432000,6d189577-af67-4d72-ba60-73fa62fd35fc
SDESM,200041309,marc.boitel@sdesm.fr,IZIVIA,sav@izivia.com,0972668001,Ecocharge77,FRS77P77308A,01F5ZAKH61F9D9W7GGTNGS2NBF,Montge-en-Goele,Voirie,route de Juilly,77308,"[49.025668799999998,2.743906800000000]",2,FRS77EEC7710312,01F5ZB3EZM71HN79X5BTWGCBK1,18,true,true,false,false,false,false,true,false,false,"2€ pour 3h de session de charge pour les abonnés, puis 2,5cts d'€ par minute complémentaire",Accès libre,false,24/7,Accessibilité inconnue,aucune restriction,false,Direct,22147756712082,2015-05-29,aucune,2021-05-18,2021-05-28T16:57:48.432000,6d189577-af67-4d72-ba60-73fa62fd35fc
SDESM,200041309,marc.boitel@sdesm.fr,IZIVIA,sav@izivia.com,0972668001,Ecocharge77,FRS77P77308A,01F5ZAKH61F9D9W7GGTNGS2NBF,Montge-en-Goele,Voirie,route de Juilly,77308,"[49.025668799999998,2.743906800000000]",2,FRS77EEC7710311,01F5ZB3EZM4GCEM44MRMZ7HXZZ,18,true,true,false,false,false,false,true,false,false,"2€ pour 3h de session de charge pour les abonnés, puis 2,5cts d'€ par minute complémentaire",Accès libre,false,24/7,Accessibilité inconnue,aucune restriction,false,Direct,22147756712082,2016-09-07,aucune,2021-05-18,2021-05-28T16:57:48.432000,6d189577-af67-4d72-ba60-73fa62fd35fc
SDESM,200041309,marc.boitel@sdesm.fr,IZIVIA,sav@izivia.com,0972668001,Ecocharge77,FRS77P77303A,01F5ZAKH6160PFDJT763HCR33P,Montdauphin,Voirie,rue Brulée,77303,"[48.851770999999999,3.427434000000000]",2,FRS77EEC7710212,01F5ZB3EZMTAGSM3FZRYGFD398,18,true,true,false,false,false,false,true,false,false,"2€ pour 3h de session de charge pour les abonnés, puis 2,5cts d'€ par minute complémentaire",Accès libre,false,24/7,Accessibilité inconnue,aucune restriction,false,Direct,22196526610709,2016-05-30,aucune,2021-05-18,2021-05-28T16:57:48.432000,6d189577-af67-4d72-ba60-73fa62fd35fc
SDESM,200041309,marc.boitel@sdesm.fr,IZIVIA,sav@izivia.com,0972668001,Ecocharge77,FRS77P77303A,01F5ZAKH6160PFDJT763HCR33P,Montdauphin,Voirie,rue Brulée,77303,"[48.851770999999999,3.427434000000000]",2,FRS77EEC7710211,01F5ZB3EZMW1TMKY1AZQPPFJYV,18,true,true,false,false,false,false,true,false,false,"2€ pour 3h de session de charge pour les abonnés, puis 2,5cts d'€ par minute complémentaire",Accès libre,false,24/7,Accessibilité inconnue,aucune restriction,false,Direct,22196526610709,2015-05-28,aucune,2021-05-18,2021-05-28T16:57:48.432000,6d189577-af67-4d72-ba60-73fa62fd35fc
SDESM,200041309,marc.boitel@sdesm.fr,IZIVIA,sav@izivia.com,0972668001,Ecocharge77,FRS77P77389A,01F5ZAKH61H3RP369G9Z4HJ948,La Rochette,Voirie,avenue Théodore Rousseau,77389,"[48.521802000000001,2.660926000000000]",2,FRS77EEC777612,01F5ZB3EZNFS9FMTK5W9T48A3E,18,true,true,false,false,false,false,true,false,false,"2€ pour 3h de session de charge pour les abonnés, puis 2,5cts d'€ par minute complémentaire",Accès libre,false,24/7,Accessibilité inconnue,aucune restriction,false,Direct,22103328351600,2016-12-16,aucune,2021-05-18,2021-05-28T16:57:48.432000,6d189577-af67-4d72-ba60-73fa62fd35fc
SDESM,200041309,marc.boitel@sdesm.fr,IZIVIA,sav@izivia.com,0972668001,Ecocharge77,FRS77P77394A,01F5ZAKH61C5S2905661MTNMNB,Rubelles,Voirie,rue du perres,77394,"[48.552988100000000,2.670981200000000]",2,FRS77EEC7712811,01F5ZB3EZNJKFQFNVXJKR6HYNZ,18,true,true,false,false,false,false,true,false,false,"2€ pour 3h de session de charge pour les abonnés, puis 2,5cts d'€ par minute complémentaire",Accès libre,false,24/7,Accessibilité inconnue,aucune restriction,false,Direct,22151953528295,2016-08-10,aucune,2021-05-18,2021-05-28T16:57:48.432000,6d189577-af67-4d72-ba60-73fa62fd35fc
